,doc_id,item,page_count
0,ts00_0000004127_0000004127-13-000056,item07,9
1,ts03_0000010456_0001193125-14-061654,item01,6
2,ts06_0000021076_0001206774-14-002682,item01a,10
3,ts07_0000024545_0000024545-20-000005,item01,17
4,ts08_0000033185_0000033185-19-000007,item01,14
5,ts09_0000032604_0000032604-17-000046,item01,7
6,ts10_0001751788_0001751788-20-000007,item01,11
7,ts15_0000052988_0000052988-13-000140,item01a,12
8,ts19_0000077360_0000077360-19-000006,item07,17
9,ts23_0000091419_0001193125-15-235197,item01a,10
10,ts24_0000100493_0000100493-15-000109,item01a,9
11,ts28_0000315293_0001628280-17-001652,item01a,16
12,ts29_0000319201_0000319201-18-000045,item07,20
13,ts32_0000715957_0001564590-21-008442,item01a,9
14,ts35_0000740260_0000740260-22-000057,item01,14
15,ts36_0000753308_0000753308-16-000337,item02,5
16,ts38_0000765880_0001558370-15-000067,item01,10
17,ts41_0000779152_0000779152-18-000060,item07,13
18,ts46_0000879101_0001437749-18-003230,item07,19
19,ts48_0000879169_0001558370-20-000774,item07,16
